# /Game/TEST4/SM_TestHouse collision - local space, meters
# box <name> cx cy cz hx hy hz rx ry rz
box None 10.3916 5.9900 1.6100 4.0006 1.6810 0.1266 0.0000 0.0000 0.0000
box None 10.3916 0.6900 -5.9800 4.0006 0.7127 0.1266 0.0000 0.0000 0.0000
box None 8.0016 2.8100 -5.9800 1.6164 1.3583 0.1266 0.0000 0.0000 0.0000
box None 12.7916 2.8100 -5.9800 1.6164 1.3583 0.1266 0.0000 0.0000 0.0000
box None 8.0016 9.1700 -5.9800 1.6164 1.3583 0.1266 0.0000 0.0000 0.0000
box None 12.7916 9.1700 1.6100 1.6164 1.3583 0.1266 0.0000 0.0000 0.0000
box None 10.3916 11.3400 1.6100 4.0006 0.7127 0.1266 0.0000 0.0000 0.0000
box None 10.3916 11.3400 -5.9900 4.0006 0.7127 0.1266 0.0000 0.0000 0.0000
box None 10.3916 5.9900 -5.9800 4.0006 1.6810 0.1266 0.0000 0.0000 0.0000
box None 8.0016 9.1700 -5.9800 1.6164 1.3583 0.1266 0.0000 0.0000 0.0000
box None 8.0016 9.1700 1.6100 1.6164 1.3583 0.1266 0.0000 0.0000 0.0000
box None 12.7916 9.1700 -5.9800 1.6164 1.3583 0.1266 0.0000 0.0000 0.0000
box None 7.8616 1.9900 1.6100 1.4183 2.0038 0.1266 0.0000 0.0000 0.0000
box None 12.9616 1.9900 1.6100 1.4183 2.0038 0.1266 0.0000 0.0000 0.0000
box None 14.2616 6.2000 -2.1800 0.1272 6.2000 4.0000 0.0000 0.0000 0.0000
box None 6.6016 2.9400 -2.1800 0.1272 2.9722 4.0000 0.0000 0.0000 0.0000
box None 10.3616 6.2000 -2.1800 4.0006 0.3253 4.0000 0.0000 0.0000 0.0000
box None 6.1216 5.6500 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 5.6016 5.1400 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 5.0716 4.6400 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 4.5316 4.2000 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 4.0016 3.7000 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 3.4716 3.2000 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 2.9316 2.7600 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 2.4016 2.2600 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 1.8616 1.7600 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 1.3316 1.3200 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 0.8016 0.8200 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
box None 0.2716 0.3200 0.0000 0.3253 0.0671 1.0949 0.0000 0.0000 0.0000
