<Frame>: 0 Lunar_Safety_orange
<TransformMatrix>:
1 0 0 0
0 1 0 0
0 0 1 0
0 0 0 1
<Mesh>: 4859 Lunar_Safety_orange
<Positions>: 4859
34.775558 19.461000 -40.852333
34.166607 19.461000 -42.112957
33.824440 19.461000 -41.947670
34.433392 19.461000 -40.687046
34.775558 19.479000 -40.852333
34.433392 19.479000 -40.687046
33.824440 19.479000 -41.947670
34.166607 19.479000 -42.112957
34.775558 19.461000 -40.852333
34.433392 19.461000 -40.687046
34.433392 19.479000 -40.687046
34.775558 19.479000 -40.852333
34.166607 19.461000 -42.112957
34.166607 19.479000 -42.112957
33.824440 19.479000 -41.947670
33.824440 19.461000 -41.947670
34.775558 19.461000 -40.852333
34.775558 19.479000 -40.852333
34.166607 19.479000 -42.112957
34.166607 19.461000 -42.112957
34.433392 19.461000 -40.687046
33.824440 19.461000 -41.947670
33.824440 19.479000 -41.947670
34.433392 19.479000 -40.687046
33.955559 19.461000 -40.852333
33.346607 19.461000 -42.112957
33.004440 19.461000 -41.947670
33.613392 19.461000 -40.687046
33.955559 19.479000 -40.852333
33.613392 19.479000 -40.687046
33.004440 19.479000 -41.947670
33.346607 19.479000 -42.112957
33.955559 19.461000 -40.852333
33.613392 19.461000 -40.687046
33.613392 19.479000 -40.687046
33.955559 19.479000 -40.852333
33.346607 19.461000 -42.112957
33.346607 19.479000 -42.112957
33.004440 19.479000 -41.947670
33.004440 19.461000 -41.947670
33.955559 19.461000 -40.852333
33.955559 19.479000 -40.852333
33.346607 19.479000 -42.112957
33.346607 19.461000 -42.112957
33.613392 19.461000 -40.687046
33.004440 19.461000 -41.947670
33.004440 19.479000 -41.947670
33.613392 19.479000 -40.687046
33.135559 19.461000 -40.852333
32.526608 19.461000 -42.112957
32.184441 19.461000 -41.947670
32.793392 19.461000 -40.687046
33.135559 19.479000 -40.852333
32.793392 19.479000 -40.687046
32.184441 19.479000 -41.947670
32.526608 19.479000 -42.112957
33.135559 19.461000 -40.852333
32.793392 19.461000 -40.687046
32.793392 19.479000 -40.687046
33.135559 19.479000 -40.852333
32.526608 19.461000 -42.112957
32.526608 19.479000 -42.112957
32.184441 19.479000 -41.947670
32.184441 19.461000 -41.947670
33.135559 19.461000 -40.852333
33.135559 19.479000 -40.852333
32.526608 19.479000 -42.112957
32.526608 19.461000 -42.112957
32.793392 19.461000 -40.687046
32.184441 19.461000 -41.947670
32.184441 19.479000 -41.947670
32.793392 19.479000 -40.687046
32.315559 19.461000 -40.852333
31.706610 19.461000 -42.112957
31.364439 19.461000 -41.947670
31.973391 19.461000 -40.687046
32.315559 19.479000 -40.852333
31.973391 19.479000 -40.687046
